0	1	x	x	X	X	_	0	ROOT	_	_
1	1	x	x	X	X	_	_	_	_	_
2	2	x	x	X	X	_	_	_	_	_
3	3	x	x	X	X	_	_	_	_	_
4	4	x	x	X	X	_	_	_	_	_
5	5	x	x	X	X	_	_	_	_	_
6	6	x	x	X	X	_	_	_	_	_
7	7	x	x	X	X	_	_	_	_	_
8	8	an-na-x	an-na-x	X	X	_	_	_	_	_
9	9	x	x	X	X	_	_	_	_	_
10	10	x	x	X	X	_	_	_	_	_
11	11	x	x	X	X	_	_	_	_	_
12	12	x	x	X	X	_	_	_	_	_
13	13	x	x	X	X	_	_	_	_	_
14	14	ṣābāni	ṣābu	NOUN	N	Gender=Masc|Number=Plur	_	_	_	_
15	15	x	x	X	X	_	_	_	_	_
16	16	x	x	X	X	_	_	_	_	_
17	17	x	x	X	X	_	_	_	_	_
18	18	x	x	X	X	_	_	_	_	_
19	19	x	x	X	X	_	_	_	_	_
20	20	bīrtu	birtu	NOUN	N	Gender=Fem|Number=Sing	_	_	_	_
21	21	x	x	X	X	_	_	_	_	_
22	22	x	x	X	X	_	_	_	_	_
23	23	x	x	X	X	_	_	_	_	_
24	24	x	x	X	X	_	_	_	_	_
25	25	x	x	X	X	_	_	_	_	_
26	26	ana	ana	ADP	PRP	_	27	case	_	_
27	27	Mat-Aššur	mat-aššur	PROPN	GN	Gender=Fem|Number=Sing|Case=Gen	_	_	_	_
28	28	x	x	X	X	_	_	_	_	_
29	29	x	x	X	X	_	_	_	_	_
30	30	x	x	X	X	_	_	_	_	_
31	31	x	x	X	X	_	_	_	_	_
32	32	x	x	X	X	_	_	_	_	_
33	33	ūmâ	ūma	ADV	AV	_	_	_	_	_
34	34	x	x	X	X	_	_	_	_	_
35	35	x	x	X	X	_	_	_	_	_
36	36	x	x	X	X	_	_	_	_	_
37	37	x	x	X	X	_	_	_	_	_
38	38	x	x	X	X	_	_	_	_	_
39	39	x	x	X	X	_	_	_	_	_
40	40	u₂-x	u₂-x	X	X	_	_	_	_	_
41	41	x	x	X	X	_	_	_	_	_
42	42	x	x	X	X	_	_	_	_	_
43	43	x	x	X	X	_	_	_	_	_
44	44	x	x	X	X	_	_	_	_	_
45	45	x	x	X	X	_	_	_	_	_
46	46	x	x	X	X	_	_	_	_	_
47	47	x	x	X	X	_	_	_	_	_
